Episode,InitialDistance,FinalDistance,PercentCovered,Reward
1,3.5046,8.1516,-132.6,-1039644.1225112935
2,4.014,5.8238,-45.09,-523842.9454228314
3,5.5345,10.06,-81.77,-1818386.4113349402
4,3.2865,3.1251,4.91,-1001210.8581327866
5,7.5176,9.5465,-26.99,-1599275.5131038777
6,3.8943,6.5421,-67.99,-1206957.234275489
7,4.8965,0.195,96.02,-62177.85263242177
8,3.6891,0.2445,93.37,-12844.715779740596
9,5.4032,2.9932,44.6,-874296.1804155608
10,4.7828,0.2128,95.55,-6246.859627149989
11,5.6266,0.2227,96.04,-24748.868080653614
12,3.5204,0.2947,91.63,-2227.34719238874
13,3.9998,0.1874,95.31,-15445.42922034516
14,4.2388,0.289,93.18,-2913.29061844182
15,4.2646,0.1959,95.41,-3223.3226507069216
16,5.2253,0.1347,97.42,-4136.548861050926
17,3.7182,0.2107,94.33,-9007.020993695354
18,5.4571,0.2927,94.64,-5659.391544782651
19,6.0914,0.2475,95.94,-30442.145151778277
20,4.8417,0.2121,95.62,-9058.397312228102
21,4.2844,0.1912,95.54,-3275.311934670775
22,3.4934,0.2943,91.57,-1608.8994114330023
23,3.5178,0.2038,94.21,-1021.1039920291946
24,7.1919,0.2471,96.56,-11106.719544732281
25,6.2367,0.2949,95.27,-6804.924111723091
26,3.926,0.2788,92.9,-2099.949905814073
27,5.8132,0.2162,96.28,-8114.20857657827
28,4.7829,0.217,95.46,-2492.400774196329
29,5.8925,0.1862,96.84,-9963.749743675713
30,3.3234,0.2102,93.67,-620.8684472169068
31,4.8406,0.1966,95.94,-5241.948254040293
32,5.3785,0.2496,95.36,-7764.979827670002
33,4.3603,0.109,97.5,-2832.803095697107
34,3.2336,0.2565,92.07,-369.5952065687584
35,4.6953,0.1783,96.2,-12207.089245183945
36,6.9001,0.2631,96.19,-15403.589219322928
37,5.9887,0.1629,97.28,-9062.57223939007
38,4.5131,0.2213,95.1,-8825.265876234353
39,3.5062,0.2012,94.26,-671.7667215133224
40,5.5876,0.1947,96.51,-4674.700004956959
41,3.988,0.2387,94.01,-3633.153411836261
42,5.7769,0.2654,95.41,-15889.213156034337
43,3.8108,0.1704,95.53,-1713.8535606059525
44,4.8189,0.2687,94.42,-2879.8946964865204
45,5.024,0.1642,96.73,-3635.5476265829575
46,4.635,0.2366,94.9,-3073.4352982762266
47,5.9528,0.2371,96.02,-7948.839864544283
48,4.5888,0.1787,96.11,-4570.042373733959
49,3.5785,0.2319,93.52,-1390.6937513493708
50,5.758,0.1529,97.34,-8855.038938395408
51,6.558,0.1681,97.44,-25716.43249628187
52,3.8032,0.1351,96.45,-1474.7666960002432
53,6.5469,0.2466,96.23,-19158.61352061128
54,4.0939,0.2885,92.95,-6026.145697663766
55,3.4728,0.2036,94.14,-589.437775214552
56,6.6084,0.2294,96.53,-8429.401620818468
57,4.9528,0.2223,95.51,-3312.0760458276964
58,3.419,0.2606,92.38,-1237.9966849309026
59,3.2584,0.1984,93.91,-2545.979018707409
60,5.7233,0.231,95.96,-17778.148084335764
61,6.7012,0.2094,96.88,-10371.756695099082
62,4.7036,0.2958,93.71,-2384.893527544828
63,6.4712,0.2852,95.59,-12347.850806754572
64,3.7831,0.1619,95.72,-900.783621374716
65,5.1958,0.2506,95.18,-5071.056401246578
66,5.6256,0.2646,95.3,-4609.646261308687
67,4.9695,0.2978,94.01,-5521.7462857840355
68,3.5862,0.2475,93.1,-998.9712029498371
69,4.4841,0.3,93.31,-2347.107609769004
70,6.5075,0.2487,96.18,-8273.692573096656
71,7.4494,0.1048,98.59,-20261.058534684158
72,3.6187,0.2996,91.72,-1093.6123009542098
73,3.8784,0.2364,93.9,-1295.7081001009165
74,3.9921,0.1967,95.07,-1363.9403573561292
75,6.3392,0.2194,96.54,-11979.95034340236
76,4.0789,0.2338,94.27,-1930.232223069021
77,3.3196,0.1428,95.7,-327.8974093594825
78,3.2416,0.2475,92.37,-494.57274469572315
79,3.5393,0.3,91.52,-2403.550836720141
80,3.4522,0.2186,93.67,-500.225849839739
81,6.1943,0.2868,95.37,-9761.943975277216
82,6.7991,0.1546,97.73,-24449.631169918353
83,3.3734,0.298,91.17,-534.5001582227694
84,5.7644,0.139,97.59,-5876.985942254928
85,4.0716,0.1284,96.85,-1976.4734291384848
86,4.8407,0.1497,96.91,-5542.091716404524
87,3.6204,0.2086,94.24,-1268.3399054589313
88,3.3754,0.2687,92.04,-1441.893060474541
89,3.8692,0.249,93.56,-1025.7793010968726
90,3.5686,0.2075,94.19,-668.5149034343949
91,7.0023,0.2175,96.89,-10298.95775138824
92,4.1044,0.1291,96.86,-2507.648119875242
93,6.4455,0.2691,95.82,-7129.677857546175
94,6.7896,0.2994,95.59,-8997.25725172783
95,3.8636,0.1932,95.0,-888.0881580851508
96,4.6731,0.1668,96.43,-2144.8750095234113
97,4.3587,0.2972,93.18,-1890.7582217049562
98,4.6829,0.291,93.79,-4697.786208408636
99,7.3051,0.1523,97.92,-9201.16603140584
100,3.257,0.207,93.64,-537.4162847402646
101,5.0602,0.2168,95.72,-8648.14676738887
102,6.7642,0.2418,96.43,-7351.396324925643
103,5.3253,0.1705,96.8,-3099.8044909934433
104,5.2354,0.2882,94.5,-11126.754106942995
105,4.123,0.2941,92.87,-1585.992030629104
106,6.7244,0.1855,97.24,-10080.389436496474
107,3.4147,0.2239,93.44,-1183.2394236407429
108,4.8292,0.2491,94.84,-2281.284773333126
109,3.6583,0.2991,91.82,-744.5290303405568
110,7.4425,0.234,96.86,-14634.734578488305
111,4.5406,0.1577,96.53,-7123.291446071724
112,7.6672,0.1177,98.47,-11941.688465259866
113,4.3681,0.1598,96.34,-1851.4335261738634
114,5.4737,0.1611,97.06,-3422.4645771575993
115,6.1945,0.1087,98.25,-6377.192085744002
116,5.8726,0.1476,97.49,-6388.549218186773
117,4.2677,0.2197,94.85,-1570.4089482646893
118,4.2703,0.2639,93.82,-1893.835948700566
119,3.8909,0.1443,96.29,-1009.0113388590994
120,3.3448,0.2194,93.44,-925.5302070034054
121,3.9761,0.175,95.6,-1205.0989827757953
122,7.279,0.2113,97.1,-12095.602159007589
123,4.9996,0.1613,96.77,-3213.5164593608356
124,4.6293,0.1222,97.36,-2259.072722668719
125,3.8551,0.1789,95.36,-897.1079975404334
126,3.3193,0.1838,94.46,-2397.341048334921
127,3.7153,0.2583,93.05,-1660.7865357199344
128,4.6771,0.1646,96.48,-7805.017916675942
129,5.2241,0.1147,97.8,-3953.6758619943985
130,6.5836,0.2219,96.63,-11023.454854721156
131,7.08,0.1548,97.81,-10399.023311015555
132,4.9092,0.2352,95.21,-2921.3156125238083
133,3.3395,0.2704,91.9,-610.2912170595799
134,3.8365,0.2446,93.62,-950.5290238064656
135,7.4914,0.2844,96.2,-17655.339021136748
136,4.0804,0.2071,94.92,-2105.803594976935
137,6.1305,0.2177,96.45,-9658.971704800597
138,3.3371,0.1528,95.42,-1788.958562476163
139,4.7566,0.253,94.68,-5733.270966466662
140,3.6852,0.2163,94.13,-689.5524567513496
141,6.5165,0.2488,96.18,-20553.577085172394
142,3.4197,0.1477,95.68,-436.59660537851687
143,4.4959,0.2158,95.2,-5341.044915342055
144,6.519,0.2789,95.72,-7010.31737982328
145,5.5097,0.1205,97.81,-4797.620042651176
146,3.2549,0.198,93.92,-897.3175756087521
147,4.0395,0.1894,95.31,-3368.485079019922
148,5.9793,0.1565,97.38,-6420.4422277685035
149,6.5717,0.275,95.82,-6527.28103175546
150,4.28,0.2728,93.63,-1905.7820118245004
151,7.0728,0.2467,96.51,-10783.905687115057
152,6.8014,0.1761,97.41,-11079.75360188445
153,5.7685,0.1628,97.18,-4337.5779174455465
154,5.5223,0.2496,95.48,-5892.5933818580215
155,6.5879,0.2106,96.8,-7377.912738371584
156,5.2034,0.1769,96.6,-2966.926546424331
157,3.827,0.2567,93.29,-1574.2087270541097
158,5.1311,0.2944,94.26,-8041.149530705867
159,5.6704,0.2922,94.85,-5075.797999267776
160,7.4699,0.1794,97.6,-22629.90554665541
161,7.177,0.1515,97.89,-10677.611827012106
162,3.5068,0.2181,93.78,-731.6548947370302
163,3.7524,0.1542,95.89,-1960.7230888803601
164,3.7932,0.208,94.52,-870.4691731486644
165,3.469,0.1692,95.12,-489.7480700284598
166,3.6701,0.1274,96.53,-1033.8409468959333
167,3.3049,0.2576,92.21,-1013.838227476158
168,5.9319,0.1907,96.79,-8462.877181912161
169,4.3779,0.147,96.64,-1707.6388246464908
170,6.7125,0.2338,96.52,-10562.270919171278
171,3.827,0.2866,92.51,-1190.2449881591492
172,6.6734,0.2402,96.4,-8399.927351987899
173,5.2406,0.2507,95.22,-4446.183933243127
174,3.4648,0.263,92.41,-2137.3310115197132
175,3.7407,0.2892,92.27,-917.5260523359536
176,3.4936,0.2339,93.3,-912.1572513120018
177,3.3178,0.2947,91.12,-495.6738276131355
178,4.4715,0.1955,95.63,-2622.360448034794
179,5.197,0.2819,94.58,-3079.743670858735
180,3.7683,0.2325,93.83,-911.2755164326709
181,4.9578,0.2494,94.97,-5368.9071697586105
182,5.278,0.2468,95.32,-3909.5989742949387
183,6.7647,0.1641,97.57,-7108.410700643026
184,5.6972,0.2,96.49,-4737.199273337682
185,3.6504,0.1871,94.87,-1065.314481533149
186,6.7721,0.2169,96.8,-7134.955393121535
187,3.3027,0.1659,94.98,-531.1903143851123
188,6.5633,0.2162,96.71,-6443.753945555057
189,3.6497,0.1935,94.7,-937.9081554185148
190,4.7966,0.2971,93.81,-4496.819738473077
191,4.8065,0.256,94.67,-2882.8985172700404
192,5.2278,0.2971,94.32,-3889.7979157659875
193,6.1632,0.2367,96.16,-6730.137367561931
194,5.0453,0.2178,95.68,-3158.6008057379927
195,3.8273,0.2204,94.24,-874.9978848411122
196,6.4502,0.134,97.92,-6157.791494647696
197,4.0544,0.2822,93.04,-1493.0056117535382
198,4.2862,0.2068,95.18,-1621.2267468241548
199,5.7567,0.1654,97.13,-4960.182204595179
200,3.9984,0.2227,94.43,-1837.877515425253
201,5.154,0.2914,94.35,-4267.874584102665
202,7.5629,0.2342,96.9,-10251.078614652082
203,4.4692,0.1404,96.86,-3757.820263162195
204,3.5946,0.2004,94.42,-1222.547633907991
205,3.8698,0.2876,92.57,-1201.179534407519
206,6.6069,0.2969,95.51,-6810.396026692648
207,4.506,0.1888,95.81,-1893.8543659282022
208,5.7292,0.2561,95.53,-4315.931581551388
209,7.1343,0.2833,96.03,-10062.439215171917
210,3.3153,0.2181,93.42,-325.09552273217173
211,4.3938,0.159,96.38,-3165.2817805926857
212,3.7225,0.2978,92.0,-1345.9097605350742
213,4.8916,0.1767,96.39,-3645.693835827197
214,3.5491,0.2254,93.65,-860.971337420475
215,3.3535,0.288,91.41,-1001.8391234185965
216,5.6659,0.215,96.21,-6096.782162509683
217,3.275,0.2673,91.84,-653.199947271949
218,5.6222,0.1187,97.89,-3906.221080098395
219,5.3708,0.2507,95.33,-4645.076778532161
220,4.3475,0.2724,93.74,-4437.325416072956
221,7.4354,0.2933,96.06,-10638.266497430795
222,3.5988,0.283,92.14,-581.0271072780087
223,3.264,0.2906,91.1,-359.5997644531511
224,4.1063,0.1888,95.4,-1382.3534784904712
225,3.8448,0.2203,94.27,-897.0433671181513
226,4.8967,0.2924,94.03,-7077.232472789509
227,3.4882,0.2264,93.51,-612.5440100868026
228,4.0652,0.1123,97.24,-2525.1196509434308
229,5.7234,0.1148,97.99,-4496.745121569013
230,4.6647,0.2996,93.58,-2298.029217471861
231,3.4546,0.1877,94.57,-502.8372139250299
232,6.3505,0.2683,95.78,-8169.272302540472
233,5.3094,0.2842,94.65,-5694.033910121819
234,4.9004,0.1206,97.54,-3964.5687752473405
235,5.2224,0.2759,94.72,-6788.998630751911
236,6.0467,0.2599,95.7,-6616.516976723033
237,3.3549,0.1487,95.57,-330.55387198167614
238,3.7629,0.1104,97.07,-2024.0293700907418
239,7.2258,0.1893,97.38,-10148.95381119847
240,4.4736,0.2094,95.32,-4182.488775127099
241,5.2655,0.1401,97.34,-4152.108916182991
242,4.7696,0.2871,93.98,-2967.3029992875827
